,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,eu_dis_untrs,eu_dis_nfe,main_r_dist,secondary_r_dist
25,26876239,1,108.56,32.0,182.97916666666666,979.0,27707534,1,POINT (152369.9923088726 7531013.292435125),POINT (151650.7712599388 7531499.6391658),868.2235078988787,16590.177518507393,14573.473880519381,203.32585685906415
26,26876240,1,27.14,8.0,112.41666666666667,125.0,27707534,0,POINT (152552.7349137469 7530749.188176593),POINT (151650.7712599388 7531499.6391658),1173.3350416624492,16773.904829028947,14882.290189114254,521.6367940226982
27,26876241,1,102.60000000000001,30.0,99.36666666666667,1566.0,27707534,1,POINT (152640.4939098874 7531538.758726792),POINT (151650.7712599388 7531499.6391658),990.4954638328354,16871.024996308108,14462.467715379755,0.21479864103598464
28,26876242,1,198.79,61.0,174.29166666666666,1527.0,27707534,0,POINT (152834.5370747425 7530487.023699855),POINT (151650.7712599388 7531499.6391658),1557.7841911407472,17060.695087754015,15222.42220519468,896.372429910473
29,26876243,1,32.7,10.0,139.45,881.0,27707534,1,POINT (152853.6434837479 7531693.435615567),POINT (151650.7712599388 7531499.6391658),1218.3836221625095,17090.128768503622,14542.153063093503,2.2934542485938145
30,26876246,1,27.14,8.0,65.08333333333333,87.0,27707534,0,POINT (153052.3906242022 7529367.077061465),POINT (151650.7712599388 7531499.6391658),2551.932203473286,17344.254586889885,15144.19697847181,1985.3487163726816
31,26876247,1,281.92,87.0,85.90476190476191,1017.0,27707534,1,POINT (153505.5032420954 7532223.042111689),POINT (151650.7712599388 7531499.6391658),1990.814543787436,17771.638611432994,14781.566322236178,774.9570350569815
32,26876248,2,50.61,16.0,46.5,246.0,27707534,1,POINT (153301.6635035929 7532070.981687335),POINT (151650.7712599388 7531499.6391658),1746.9623570848266,17557.917071264863,14694.440346516541,521.6746936147581
33,26876249,1,6.54,2.0,142.58333333333334,178.0,27707534,1,POINT (153176.8711509557 7531549.00449043),POINT (151650.7712599388 7531499.6391658),1526.898101589483,17407.43212662815,14888.8168671126,305.81644365559447
34,26876250,2,50.61,16.0,283.4166666666667,492.0,27707534,1,POINT (153172.1298841366 7532295.314450296),POINT (151650.7712599388 7531499.6391658),1716.866687246877,17444.596537384143,14462.6444231467,632.4896460400058
35,26876251,1,564.27,176.0,117.24999999999999,2175.0,27707534,1,POINT (153708.5926895652 7532454.419383729),POINT (151650.7712599388 7531499.6391658),2268.531309190537,17992.153827353268,14830.176585029034,1080.7916897743078
36,26876252,1,73.99,17.0,18.916666666666668,39.0,27707534,1,POINT (153986.0718847343 7532225.125574634),POINT (151650.7712599388 7531499.6391658),2445.3955789551296,18251.139695426777,15186.743752180171,1181.6228324902204
37,26876253,1,157.39,38.0,114.66666666666667,266.0,27707534,1,POINT (154396.488347539 7532203.391880257),POINT (151650.7712599388 7531499.6391658),2834.4717688213686,18659.086201934806,15548.296622067624,1554.9684183984339
38,26876254,1,52.32,16.0,152.91666666666666,2883.0,27707534,1,POINT (153417.9816767934 7531452.518610444),POINT (151650.7712599388 7531499.6391658),1767.8385119054983,17645.35411679424,15141.10882989047,562.8797691256614
39,26876255,1,309.90999999999997,74.0,146.85416666666666,1093.0,27707534,1,POINT (154225.2054850043 7532265.654938417),POINT (151650.7712599388 7531499.6391658),2685.9805924628454,18492.54363222919,15369.488349992249,1416.4009815148252
40,26876256,1,294.21000000000004,96.0,145.06944444444443,1382.0,27707534,1,POINT (153997.8447391258 7532936.554313756),POINT (151650.7712599388 7531499.6391658),2751.995468587643,18326.54018872016,14834.543240144358,1628.8554143466117
41,26876257,1,135.7,40.0,48.33333333333333,461.0,27707534,0,POINT (152817.0543228582 7529004.405421622),POINT (151650.7712599388 7531499.6391658),2754.343410131902,17147.132256040426,14803.69248675888,2258.012045396229
42,26876258,2,60.39,14.0,84.25,115.0,27707534,1,POINT (154644.7402283038 7532257.331107702),POINT (151650.7712599388 7531499.6391658),3088.356725243349,18910.44914523522,15734.08672721469,1807.8000073214823
43,26876259,1,101.43,30.0,125.3888888888889,653.0,27707534,1,POINT (153422.6361506386 7532532.963486323),POINT (151650.7712599388 7531499.6391658),2051.161705541244,17714.096310080753,14545.703552576924,959.8195178260187
44,26876260,1,27.14,8.0,11.833333333333334,30.0,27707534,0,POINT (152336.3772197083 7528914.994007524),POINT (151650.7712599388 7531499.6391658),2674.031811005764,16680.26766942059,14319.6069318114,2284.549977166579
45,26876261,1,215.87,66.0,163.66666666666666,1074.0,27707534,1,POINT (154331.1366041006 7532663.41637811),POINT (151650.7712599388 7531499.6391658),2922.111527316312,18630.699362937892,15259.215493677026,1700.0087501350617
46,26876262,1,32.7,10.0,171.28333333333336,1068.0,27707534,1,POINT (153410.7427734328 7531097.497835817),POINT (151650.7712599388 7531499.6391658),1805.3302682863803,17631.4520004297,15343.726812862387,788.8115387117159
47,26876263,2,79.73,25.0,192.29166666666669,863.0,27707534,1,POINT (153942.2312496931 7533302.841941102),POINT (151650.7712599388 7531499.6391658),2915.8753631632853,18314.824552449263,14609.037881391287,1888.2012502973162
48,26876264,2,327.87,76.0,132.33333333333331,855.0,27707534,1,POINT (155280.4371641405 7531907.094910607),POINT (151650.7712599388 7531499.6391658),3652.4642038081315,19524.251396485837,16459.61809284559,2368.078673493907
49,26876265,1,13.08,4.0,75.16666666666667,255.0,27707534,1,POINT (153651.0778561886 7531231.47620269),POINT (151650.7712599388 7531499.6391658),2018.2016385347142,17873.431819479563,15459.23170647935,876.4904030468163
