,COD_ID,geometry,CTMT,UNI_TR_D,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,TIEMPO_MIN,DISTANCIA_KM,NODE,ENDNODE,g_degree,g_avg_ndeg,g_pagerank,dist_to_trs,COMP,R,X,impedancia,angulo_impedancia,GRU_TAR_2,GRU_TAR_3,DIC_above,FIC_above
0,26877970,POINT (-42.59528120976 -22.19312032804066),27117490,26877970,14.95,7.0,0.6177111716621253,0.005346441580823313,27707625,0,POINT (-42.59528120976 -22.19312032804066),POINT (-42.52043283470749 -22.2303983698888),0.368629476584022,0.3635632415041223,27149276,27707667,0.0,0.7142857142857142,0.028394461027028473,0.4019463736309358,0.38962201436180677,0.38273014277007106,0.37388209956077884,0.3802110312444269,0.546178242083506,0,0,0,0
1,26877971,POINT (-42.59618383951255 -22.19249262643353),27117490,26877971,49.56,11.0,0.36648501362397823,0.00264384473776977,27707625,0,POINT (-42.59618383951255 -22.19249262643353),POINT (-42.52043283470749 -22.2303983698888),0.3696625344352617,0.3648200281520209,27149277,27707667,0.0,0.7142857142857142,0.028394461027028473,0.4036686058091228,0.3912879017993125,0.3865713624216614,0.3756659275038436,0.3834900042436211,0.5438584111520325,0,0,1,1
2,26877972,POINT (-42.59799751936998 -22.19074075518165),27117490,26877972,43.265,10.25,0.1938010899182561,0.01014453017899808,27707625,0,POINT (-42.59799751936998 -22.19074075518165),POINT (-42.52043283470749 -22.2303983698888),0.38033746556473835,0.37784033782425097,27149521,27707667,0.3333333333333333,0.14285714285714285,0.35910736593730685,0.41802418366204674,0.40517382096062865,0.4185896515100928,0.39053493369082964,0.41089620137637667,0.5259616817046494,0,0,1,1
3,26877973,POINT (-42.60002467849608 -22.1856605227149),27117490,26877973,25.036666666666665,8.0,0.3019981834695731,0.006697740002350084,27707625,0,POINT (-42.60002467849608 -22.1856605227149),POINT (-42.52043283470749 -22.2303983698888),0.4171831955922865,0.41250251357329576,27132174,27707667,0.0,0.42857142857142855,0.04360744024725888,0.4347915502954118,0.4213926245507353,0.45598712847821454,0.40790198646747455,0.44305133168171645,0.5078629291298546,0,0,1,1
4,26877977,POINT (-42.60091921614884 -22.21268851456324),27117490,26877977,62.68,10.0,0.12302452316076294,0.0025263405272022248,27707625,0,POINT (-42.60091921614884 -22.21268851456324),POINT (-42.52043283470749 -22.2303983698888),0.0,0.0,27162189,27707667,0.0,0.14285714285714285,0.1015474536353102,0.3702656705511892,0.3589777807094904,0.28425892982852585,0.34222670209224093,0.30144844498116863,0.6429178192675262,0,0,1,1
5,26877978,POINT (-42.59369484793882 -22.17809184456291),27117490,26877978,19.25,8.0,0.16589464123524073,0.012866711057146214,27707625,0,POINT (-42.59369484793882 -22.17809184456291),POINT (-42.52043283470749 -22.2303983698888),0.45523415977961434,0.5150563040418259,27157351,27707667,0.3333333333333333,0.14285714285714285,0.38460588999821643,0.4626471168449475,0.44833686526764455,0.4982139735556953,0.4357516822843973,0.48157035989808317,0.49829227723906644,0,0,1,1
6,26877979,POINT (-42.61973201891749 -22.19542990126888),27117490,26877979,20.37,7.333333333333332,0.5009990917347865,0.011632916846186987,27707625,0,POINT (-42.61973201891749 -22.19542990126888),POINT (-42.52043283470749 -22.2303983698888),0.0,0.0,27147741,27707667,0.3333333333333333,0.14285714285714285,0.40993270914433544,0.8022595947677835,0.7782012591194365,0.504389041819666,0.7350412242401408,0.5778542652684475,0.7357576077800408,0,0,1,0
7,26877980,POINT (-42.62382094308202 -22.19409776969627),27117490,26877980,18.675,8.833333333333334,0.44150772025431423,0.03523167913516901,27707625,0,POINT (-42.62382094308202 -22.19409776969627),POINT (-42.52043283470749 -22.2303983698888),0.0,0.0,27153185,27707667,0.3333333333333333,0.14285714285714285,0.3590941041019695,0.7827506948090593,0.7593306145150558,0.46087692373739236,0.7132524118140126,0.5429756368514209,0.7657303855865232,1,0,1,1
8,26877981,POINT (-42.62130346997913 -22.19768297458955),27117490,26877981,25.47,6.333333333333332,0.3961852861035422,0.010888723512592534,27707625,0,POINT (-42.62130346997913 -22.19768297458955),POINT (-42.52043283470749 -22.2303983698888),0.0,0.0,27147290,27707667,0.0,0.14285714285714285,0.09631047963111516,0.80988581381827,0.7855779779339964,0.5213983526751282,0.7435586832851497,0.5916184002409532,0.725004306862168,0,0,1,0
9,26877982,POINT (-42.6251575271981 -22.19450695673061),27117490,26877982,12.12,5.333333333333333,0.4161671207992734,0.017410207199091303,27707625,0,POINT (-42.6251575271981 -22.19450695673061),POINT (-42.52043283470749 -22.2303983698888),0.5514807162534435,0.5389101146189423,27153461,27707667,0.3333333333333333,0.28571428571428564,0.3273815142274732,0.7785076073800693,0.755226344409248,0.45141325732697196,0.7085134549126223,0.5354595088482788,0.772763626500645,0,0,0,0
