,UNI_TR_D,TIEMPO_MIN,DISTANCIA_KM
166,26877475,4.516666666666667,1.363
167,26877476,5.516666666666667,1.634
168,26877477,4.683333333333334,1.535
169,26877478,5.0,1.604
170,26877479,4.466666666666667,1.671
171,26877480,0.0,0.0
172,26877481,9.716666666666667,3.44
173,26877482,6.966666666666667,2.544
174,26877483,7.033333333333333,2.601
175,26877484,5.516666666666667,3.296
176,26877485,7.15,2.638
177,26877486,5.133333333333334,2.888
178,26877487,11.633333333333333,4.075
179,26877488,11.6,4.063
180,26877489,10.95,3.871
181,26877490,8.0,4.488
182,26877491,11.633333333333333,4.098
183,26877492,24.366666666666667,15.966
184,26877493,9.65,5.037
185,26877494,8.05,5.411
186,26877495,8.15,5.538
187,26877496,0.0,0.0
188,26877497,8.95,4.802
189,26877498,0.0,0.0
190,26877499,13.366666666666667,6.275
191,26877500,13.4,6.287
192,26876499,64.1,29.268
193,26876500,62.96666666666667,29.087
194,26876501,60.1,28.641
195,26876502,61.61666666666667,29.68
196,26876503,56.8,27.032
197,26876504,53.833333333333336,28.183
198,26876505,54.7,28.808
199,26876506,58.03333333333333,27.443
200,26876507,0.0,0.0
201,26876508,55.18333333333333,29.233
202,26876509,70.06666666666666,30.163
203,26876510,0.0,0.0
204,26876511,59.35,27.879
205,26876512,52.333333333333336,24.782
206,26876513,57.13333333333333,27.704
207,26876514,52.6,24.04
208,26876515,50.55,25.625
209,26876516,0.0,0.0
210,26876517,52.95,24.987
211,26876518,53.86666666666667,25.289
212,26876519,0.0,0.0
213,26876520,53.88333333333333,25.299
214,26876521,54.21666666666667,25.402
215,26876522,54.28333333333333,25.428
216,26876523,57.6,28.258
217,26876524,59.78333333333333,28.534
218,26876525,52.95,25.866
219,26876526,53.0,25.877
220,26876527,60.1,28.641
221,26876528,52.95,25.865
222,26876529,52.68333333333333,25.659
223,26876530,59.43333333333333,28.954
224,26876531,59.6,28.593
225,26876532,56.05,26.013
226,26876533,57.13333333333333,26.374
227,26876534,0.0,0.0
228,26876535,60.8,29.412
229,26876536,55.016666666666666,26.438
230,26876537,53.5,27.311
231,26876538,62.68333333333333,28.989
232,26876539,0.0,0.0
233,26876540,56.05,26.013
234,26876541,62.18333333333333,29.332
235,26876542,61.71666666666667,29.553
236,26876543,61.8,29.744
237,26876544,65.7,29.506
238,26876545,62.03333333333333,29.359
239,26876546,56.6,26.965
240,26876547,62.333333333333336,29.923
241,26879834,6.783333333333333,3.595
242,26879835,7.216666666666667,3.905
243,26879836,12.633333333333333,6.686
244,26879837,8.666666666666666,3.935
245,26879838,8.416666666666666,3.913
246,26879839,9.2,4.184
247,26879841,0.0,0.0
248,26879842,9.033333333333333,5.504
249,26879843,9.766666666666667,5.758
250,26879844,10.316666666666666,5.74
251,26879845,9.633333333333333,5.723
252,26879846,9.966666666666667,5.852
253,26879847,10.45,5.922
254,26879848,10.183333333333334,5.929
255,26879849,11.633333333333333,6.185
256,26879010,18.866666666666667,12.956
257,26879011,20.65,13.616
258,26879012,20.783333333333335,13.661
259,26879013,20.033333333333335,13.51
260,26879014,20.833333333333332,13.705
261,26879015,0.0,0.0
262,26879016,22.466666666666665,13.78
263,26879017,26.05,14.54
264,26879018,21.416666666666668,15.027
265,26879019,21.1,14.976
266,26880107,26.4,18.916
267,26880108,21.383333333333333,15.374
268,26880109,22.933333333333334,15.889
269,26880110,17.283333333333335,13.193
270,26880111,13.35,11.984
271,26880112,33.9,21.435
272,26880113,14.683333333333334,12.31
273,26880114,18.3,13.53
274,26880115,22.216666666666665,15.655
275,26880116,14.0,12.155
276,26880117,0.0,0.0
277,26880118,17.25,13.177
278,26880119,0.0,0.0
279,26880120,24.283333333333335,16.342
280,26880121,18.0,13.43
281,26880122,0.0,0.0
282,26880123,0.0,0.0
283,26880124,15.283333333333333,12.566
284,26880125,18.933333333333334,13.74
285,26880126,12.916666666666666,11.651
286,26880127,0.0,0.0
287,26880128,0.0,0.0
288,26880129,23.2,15.984
289,26880130,13.5,11.788
290,26880131,12.733333333333333,11.565
291,26880132,0.0,0.0
292,26880133,16.133333333333333,12.797
293,26880134,0.0,0.0
294,26880135,0.0,0.0
295,26880136,12.566666666666666,11.485
296,26880137,17.233333333333334,13.161
297,26880139,0.0,0.0
298,26880140,0.0,0.0
299,26880141,12.083333333333334,11.204
300,26880142,26.1,16.949
301,26880143,26.65,17.128
302,26880144,13.883333333333333,11.789
303,26880145,25.95,16.897
304,26880146,13.433333333333334,11.637
305,26880147,18.35,13.533
306,26880148,15.25,12.206
307,26880149,18.35,13.533
308,26880150,13.933333333333334,11.832
309,26880151,27.35,17.365
310,26880152,15.583333333333334,12.391
311,150414835,66.75,29.982
312,150414867,65.51666666666667,29.711
313,150766668,0.0,0.0
314,152029160,0.0,0.0
315,152437008,7.383333333333334,5.772
316,153179867,63.266666666666666,28.666
317,153639343,5.383333333333334,1.972
318,153858608,0.0,0.0
319,26879009,18.883333333333333,12.63
320,26878602,29.883333333333333,13.008
321,26878603,30.466666666666665,13.205
322,26878604,15.616666666666667,6.258
323,26878605,2.3666666666666667,0.814
324,26878606,7.616666666666666,3.343
325,26879311,14.283333333333333,5.82
326,26879669,1.5666666666666667,0.437
327,26879670,1.4666666666666666,0.406
328,26879671,0.0,0.0
329,26879672,4.483333333333333,1.614
330,26879673,0.0,0.0
331,26879674,4.866666666666666,1.83
332,26879676,0.0,0.0
333,26879677,7.233333333333333,3.219
334,26879678,6.683333333333334,3.149
335,26879679,6.533333333333333,3.069
336,26879680,6.883333333333334,3.153
337,26879681,7.35,3.298
338,26879682,7.45,3.336
339,26879710,0.0,0.0
340,26879711,2.7666666666666666,1.153
341,26879712,2.95,1.19
342,26879713,3.433333333333333,1.431
343,26879714,0.0,0.0
344,26879715,3.816666666666667,1.692
345,26879716,4.783333333333333,2.309
346,26879717,0.0,0.0
347,26879718,5.8,2.769
348,26879719,6.166666666666667,2.927
349,26879720,6.25,2.602
350,26879721,0.0,0.0
351,26879722,7.183333333333334,3.23
352,26879723,0.0,0.0
353,26879724,6.8,3.205
354,26879725,7.466666666666667,3.3
355,26879726,8.0,3.415
356,26879727,9.6,3.74
357,26879728,10.966666666666667,4.045
358,26879729,0.016666666666666666,0.023
359,26879730,0.08333333333333333,0.089
360,26879731,1.45,0.388
361,26879732,1.5833333333333333,0.599
362,26879733,1.4,0.543
363,26879734,9.15,3.644
364,26879735,8.7,3.563
365,26879736,9.183333333333334,3.661
366,26879737,9.15,3.673
367,26879738,9.766666666666667,3.753
368,26879739,9.8,3.768
369,26879740,1.3833333333333333,0.55
370,26880430,2.05,0.437
371,26880431,2.2333333333333334,0.507
372,26880432,0.0,0.0
373,26880433,2.3666666666666667,0.556
374,26880434,2.45,0.583
375,26880435,0.0,0.0
376,26880436,4.25,1.149
377,26880437,4.083333333333333,1.121
378,26880439,3.3833333333333333,0.914
379,26880440,4.083333333333333,1.121
380,26880441,4.2,1.046
381,26880442,0.0,0.0
382,26880443,4.55,1.747
383,26880445,4.716666666666667,1.82
384,26877501,12.3,5.916
385,26877502,9.166666666666666,6.729
386,26877503,26.816666666666666,14.127
387,26877504,26.9,14.156
388,26877505,9.966666666666667,7.616
389,26877506,8.766666666666667,6.253
390,26877507,10.233333333333333,7.909
391,26877508,0.0,0.0
