,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,EUC_DIST_UNTRS,EUC_DIST_CENT,EUC_DIST_PRIMARY,EUC_DIST_SECONDARY
12,152029160,2,22.55,8.0,40.666666666666664,157.0,27707534,0,POINT (142295.7243031081 7520539.960160877),POINT (151650.7712599388 7531499.6391658),14409.422870311926,12190.006714240808,5028.288078502746,5411.808776261504
13,154081659,1,358.91000000000014,145.0,55.44607843137255,1411.0,27707534,0,POINT (156634.6094161699 7525829.021944907),POINT (151650.7712599388 7531499.6391658),7549.47299044105,21225.729939809706,17922.712924137715,965.9286936051008
14,157722925,1,77.7,60.0,119.34722222222221,914.0,27707534,0,POINT (151498.5998163476 7523099.646970769),POINT (151650.7712599388 7531499.6391658),8401.370425402089,17354.95815608294,12776.733218386682,1173.4035363247788
15,171446540,1,0.0,0.0,16.666666666666668,100.0,27707534,0,POINT (146823.3630949744 7525498.91016832),POINT (151650.7712599388 7531499.6391658),7701.468567251599,12100.030368414558,8134.192025170737,7.346009349737125
16,26876230,1,41.04,12.0,157.90000000000003,1576.0,27707534,1,POINT (151676.8448799398 7531496.430151112),POINT (151650.7712599388 7531499.6391658),26.270352780668997,15633.883963972394,13732.863342424236,2.291958457323679
17,26876231,1,46.91,13.0,55.095238095238095,769.0,27707534,1,POINT (151675.120032085 7531591.423533162),POINT (151650.7712599388 7531499.6391658),94.95911118515636,15635.412135055258,13671.47605646319,92.40563059492266
18,26876232,1,112.86000000000001,33.0,161.09090909090912,2334.0,27707534,1,POINT (151827.3156117203 7531414.292176588),POINT (151650.7712599388 7531499.6391658),196.09185784624862,15781.957603962619,13901.376809834064,1.076480942624676
19,26876233,1,51.3,15.0,115.81666666666668,725.0,27707534,1,POINT (151726.3075299594 7531863.733890392),POINT (151650.7712599388 7531499.6391658),371.8476792508156,15699.03873330331,13541.339132011684,355.1728925413387
20,26876234,1,10.26,3.0,68.5,127.0,27707534,1,POINT (151996.9185660388 7531228.771397877),POINT (151650.7712599388 7531499.6391658),439.53077846681873,15947.866284191972,14150.07202908092,2.349886252858704
21,26876235,1,135.60000000000002,40.0,106.58333333333333,2034.0,27707534,0,POINT (151893.587438889 7530906.220759126),POINT (151650.7712599388 7531499.6391658),641.1747828315642,15843.347906122859,14277.442675262448,332.7916897604777
22,26876236,1,393.04,136.0,131.77857142857147,6420.0,27707534,1,POINT (152250.1012098357 7531207.798417963),POINT (151650.7712599388 7531499.6391658),666.6088890357416,16200.753864061388,14359.698829064055,0.8451371828092309
23,26876237,1,10.26,3.0,20.916666666666668,35.0,27707534,0,POINT (151939.7426914078 7530553.265582827),POINT (151650.7712599388 7531499.6391658),989.508689580162,15895.69728296542,14364.25512230366,674.1296069792394
24,26876238,1,10.26,3.0,169.33333333333334,196.0,27707534,0,POINT (151633.7815870883 7530640.53147706),POINT (151650.7712599388 7531499.6391658),859.2756657997326,15587.559025203405,14087.300978202209,576.9121989839988
25,26876239,1,108.56,32.0,182.97916666666666,979.0,27707534,1,POINT (152369.9923088726 7531013.292435125),POINT (151650.7712599388 7531499.6391658),868.2235078988787,16319.422048091783,14575.357949411957,203.3258568590873
26,26876240,1,27.14,8.0,112.41666666666667,125.0,27707534,0,POINT (152552.7349137469 7530749.188176593),POINT (151650.7712599388 7531499.6391658),1173.3350416624492,16504.20426658316,14883.929810641554,521.6367940226693
27,26876241,1,102.60000000000001,30.0,99.36666666666667,1566.0,27707534,1,POINT (152640.4939098874 7531538.758726792),POINT (151650.7712599388 7531499.6391658),990.4954638328354,16598.388990634056,14464.33711747773,0.21479864107023733
28,26876242,1,198.79,61.0,174.29166666666666,1527.0,27707534,0,POINT (152834.5370747425 7530487.023699855),POINT (151650.7712599388 7531499.6391658),1557.7841911407472,16792.07125037431,15222.42220519468,896.3724299104379
29,26876243,1,32.7,10.0,139.45,881.0,27707534,1,POINT (152853.6434837479 7531693.435615567),POINT (151650.7712599388 7531499.6391658),1218.3836221625095,16817.018858674062,14544.015188172865,2.293454248600517
30,26876246,1,27.14,8.0,65.08333333333333,87.0,27707534,0,POINT (153052.3906242022 7529367.077061465),POINT (151650.7712599388 7531499.6391658),2551.932203473286,17080.889014511853,15144.196978471755,1985.348716372704
31,26876247,1,281.92,87.0,85.90476190476191,1017.0,27707534,1,POINT (153505.5032420954 7532223.042111689),POINT (151650.7712599388 7531499.6391658),1990.8145437873816,17497.122953741655,14783.222560015089,774.9570350569376
32,26876248,2,50.61,16.0,46.5,246.0,27707534,1,POINT (153301.6635035929 7532070.981687335),POINT (151650.7712599388 7531499.6391658),1746.9623570848266,17283.768612691176,14696.284184705075,521.6746936147581
33,26876249,1,6.54,2.0,142.58333333333334,178.0,27707534,1,POINT (153176.8711509557 7531549.00449043),POINT (151650.7712599388 7531499.6391658),1526.898101589483,17134.82123517991,14890.676838529307,305.81644365559447
34,26876250,2,50.61,16.0,283.4166666666667,492.0,27707534,1,POINT (153172.1298841366 7532295.314450296),POINT (151650.7712599388 7531499.6391658),1716.866687246877,17169.833486180778,14464.448087511131,632.4896460400058
35,26876251,1,564.27,176.0,117.24999999999999,2175.0,27707534,1,POINT (153708.5926895652 7532454.419383729),POINT (151650.7712599388 7531499.6391658),2268.531309190537,17717.106538670418,14831.46722723001,1080.7916897743078
36,26876252,1,73.99,17.0,18.916666666666668,39.0,27707534,1,POINT (153986.0718847342 7532225.125574634),POINT (151650.7712599388 7531499.6391658),2445.3955789550737,17976.70460924063,15188.092666262144,1181.622832490168
37,26876253,1,157.39,38.0,114.66666666666667,266.0,27707534,1,POINT (154396.488347539 7532203.391880257),POINT (151650.7712599388 7531499.6391658),2834.4717688213686,18384.776232854056,15549.418629578382,1554.9684183984339
38,26876254,1,52.32,16.0,152.91666666666666,2883.0,27707534,1,POINT (153417.9816767934 7531452.518610444),POINT (151650.7712599388 7531499.6391658),1767.8385119054983,17373.080895940027,15142.966957686973,562.8797691256614
39,26876255,1,309.90999999999997,74.0,146.85416666666666,1093.0,27707534,1,POINT (154225.2054850043 7532265.654938417),POINT (151650.7712599388 7531499.6391658),2685.9805924628454,18218.048759582995,15370.651122775498,1416.4009815148252
40,26876256,1,294.21000000000004,96.0,145.06944444444443,1382.0,27707534,1,POINT (153997.8447391259 7532936.554313756),POINT (151650.7712599388 7531499.6391658),2751.9954685876924,18050.520639293478,14835.157656929981,1628.8554143466504
41,26876257,1,135.7,40.0,48.33333333333333,461.0,27707534,0,POINT (152817.0543228582 7529004.405421622),POINT (151650.7712599388 7531499.6391658),2754.343410131902,16885.855803948998,14803.692486758826,2258.0120453962427
42,26876258,2,60.39,14.0,84.25,115.0,27707534,1,POINT (154644.7402283038 7532257.331107701),POINT (151650.7712599388 7531499.6391658),3088.3567252431203,18636.046659196843,15735.011036400052,1807.800007321203
43,26876259,1,101.43,30.0,125.3888888888889,653.0,27707534,1,POINT (153422.6361506386 7532532.963486323),POINT (151650.7712599388 7531499.6391658),2051.161705541244,17438.808953947144,14547.095995420459,959.8195178260187
44,26876260,1,27.14,8.0,11.833333333333334,30.0,27707534,0,POINT (152336.3772197083 7528914.994007524),POINT (151650.7712599388 7531499.6391658),2674.031811005764,16419.837202280884,14319.606931811346,2284.5499771665804
45,26876261,1,215.87,66.0,163.66666666666666,1074.0,27707534,1,POINT (154331.1366041006 7532663.41637811),POINT (151650.7712599388 7531499.6391658),2922.1115273162586,18355.30437233945,15259.916334417027,1700.0087501350133
46,26876262,1,32.7,10.0,171.28333333333336,1068.0,27707534,1,POINT (153410.7427734328 7531097.497835817),POINT (151650.7712599388 7531499.6391658),1805.3302682863803,17360.39901098042,15345.593272103135,788.8115387117159
47,26876263,2,79.73,25.0,192.29166666666669,863.0,27707534,1,POINT (153942.2312496931 7533302.841941102),POINT (151650.7712599388 7531499.6391658),2915.8753631632853,18038.14399648059,14609.291659342087,1888.2012502973162
48,26876264,2,327.87,76.0,132.33333333333331,855.0,27707534,1,POINT (155280.4371641405 7531907.094910607),POINT (151650.7712599388 7531499.6391658),3652.4642038081315,19250.841175903275,16460.52033750428,2368.078673493907
49,26876265,1,13.08,4.0,75.16666666666667,255.0,27707534,1,POINT (153651.0778561886 7531231.47620269),POINT (151650.7712599388 7531499.6391658),2018.2016385347142,17601.916886557723,15461.09114832702,876.4904030468163
50,26876266,1,30.48,9.0,155.13888888888889,911.0,27707534,1,POINT (153664.0494321955 7530881.446167178),POINT (151650.7712599388 7531499.6391658),2106.051182291136,17613.938142402436,15677.748124600004,1117.369189925525
51,26876267,1,129.76,41.0,115.02777777777779,524.0,27707534,1,POINT (153973.3093826919 7533478.312422415),POINT (151650.7712599388 7531499.6391658),3051.119661384252,18092.086252292807,14554.105725249536,2053.719017926411
52,26876268,1,6.54,2.0,105.83333333333333,126.0,27707534,1,POINT (153707.5218340001 7531072.432303179),POINT (151650.7712599388 7531499.6391658),2100.6495727207157,17657.065977074886,15599.832479778674,1016.4113506919975
53,26876269,1,26.16,8.0,90.04166666666666,722.0,27707534,1,POINT (153626.4694762144 7530567.526894496),POINT (151650.7712599388 7531499.6391658),2184.5403928768524,17581.434414886568,15837.08515692449,1347.59579642418
54,26876270,2,85.05,28.0,136.4722222222222,1070.0,27707534,1,POINT (153934.3243132487 7533804.205695931),POINT (151650.7712599388 7531499.6391658),3244.3244965755,18100.926465627566,14370.401468579703,2322.187410080776
55,26876271,1,282.64,87.0,117.8888888888889,1151.0,27707534,1,POINT (153822.9657583218 7534011.066774288),POINT (151650.7712599388 7531499.6391658),3320.4965850730305,18024.213705363232,14178.674687063878,2467.0114309955557
56,26876273,1,608.4599999999999,188.0,104.5625,1624.0,27707534,1,POINT (153497.1169080483 7533844.912394986),POINT (151650.7712599388 7531499.6391658),2984.8448488702143,17675.57975806627,13962.363299691666,2206.495976582802
57,26876274,1,76.74,18.0,113.22222222222223,922.0,27707534,1,POINT (154099.7211307905 7531180.226879714),POINT (151650.7712599388 7531499.6391658),2469.6922234252165,18049.96532712212,15857.313458435181,1295.2129152065936
58,26876275,1,121.04,37.0,101.97222222222223,427.0,27707534,1,POINT (153632.7442725108 7534211.791358711),POINT (151650.7712599388 7531499.6391658),3359.164559838699,17871.560448626537,13919.830463035383,2596.310483231173
59,26876276,2,32.36,11.0,229.33333333333334,262.0,27707534,1,POINT (153441.6832274388 7533541.961215584),POINT (151650.7712599388 7531499.6391658),2716.3293302481848,17574.64782771099,14055.264124185347,1899.7642008742453
60,26876277,2,107.54,24.0,225.75,535.0,27707534,1,POINT (153801.7089287725 7534471.776523102),POINT (151650.7712599388 7531499.6391658),3668.8054358166373,18085.791748719857,13962.555653701555,2894.1211247315246
61,26876278,1,106.15,36.0,76.97916666666667,513.0,27707534,1,POINT (153540.4894304392 7534517.546069385),POINT (151650.7712599388 7531499.6391658),3560.729818819136,17838.42242567713,13706.001281643254,2870.1987974149015
62,26876279,2,32.36,11.0,156.16666666666666,170.0,27707534,1,POINT (152867.4011774721 7533442.655726207),POINT (151650.7712599388 7531499.6391658),2292.4881047137847,16992.05594250832,13602.5479238479,1728.27390013175
63,26876281,1,18.92,7.0,28.166666666666668,77.0,27707534,1,POINT (152580.1468129812 7533046.081857259),POINT (151650.7712599388 7531499.6391658),1804.2239097630584,16654.664258366545,13560.71774827192,1373.638140004668
64,26876283,1,405.92,90.0,90.70833333333333,662.0,27707534,1,POINT (154556.1199895157 7534587.86011295),POINT (151650.7712599388 7531499.6391658),4240.066020579252,18848.495939443477,14607.113034338603,3305.8520465894803
65,26876284,2,129.44,44.0,21.375,329.0,27707534,1,POINT (152378.5429663147 7533040.712603413),POINT (151650.7712599388 7531499.6391658),1704.2766784522028,16453.929129185482,13393.148831163948,1422.3322139266108
66,26876286,1,6.54,2.0,87.0,99.0,27707534,1,POINT (155115.0388120726 7530939.965491146),POINT (151650.7712599388 7531499.6391658),3509.1857025338268,19064.591776003894,16832.58396988388,2327.7707575126556
67,26876287,1,218.4,47.0,203.66666666666669,701.0,27707534,1,POINT (154515.2886353131 7535010.807769652),POINT (151650.7712599388 7531499.6391658),4531.419728792877,18893.45760638065,14410.239238453278,3661.364843667733
68,26876288,1,91.71,21.0,73.0,103.0,27707534,1,POINT (154353.2932236064 7534306.155519538),POINT (151650.7712599388 7531499.6391658),3896.17235346463,18597.390063722585,14533.407750544893,2960.9163080401713
69,26876290,1,6.71,3.0,67.33333333333333,95.0,27707534,1,POINT (155048.0546762157 7530419.809087599),POINT (151650.7712599388 7531499.6391658),3564.7675391669113,19006.60861979796,17070.20222076245,2491.183095321258
70,26876292,1,215.81,48.0,129.875,495.0,27707534,1,POINT (155192.0644176615 7534383.815938701),POINT (151650.7712599388 7531499.6391658),4567.190918526869,19436.7755276282,15272.52041787407,3504.7379328622255
71,26876293,1,69.7,15.0,151.75,168.0,27707534,1,POINT (154805.8414634314 7534465.172314093),POINT (151650.7712599388 7531499.6391658),4329.994785515716,19071.115265831482,14884.882456018593,3334.4057864738375
72,26876294,1,199.11,44.0,95.04166666666667,358.0,27707534,1,POINT (154734.4280525308 7535544.212889872),POINT (151650.7712599388 7531499.6391658),5086.011779769653,19226.47855638894,14431.752916822192,4237.104478628284
73,26876295,2,168.69,52.0,159.47222222222226,558.0,27707534,1,POINT (153041.602272151 7535909.653823694),POINT (151650.7712599388 7531499.6391658),4624.136696441004,17683.7378566071,12714.053598982056,4196.22496888621
74,26876296,1,69.7,15.0,56.25,135.0,27707534,1,POINT (155086.7113721956 7535424.353013158),POINT (151650.7712599388 7531499.6391658),5216.230750135306,19541.563801926008,14803.86460812634,4295.56896942793
75,26876297,1,92.79,21.0,48.333333333333336,128.0,27707534,1,POINT (155275.9353110286 7533986.614913255),POINT (151650.7712599388 7531499.6391658),4396.232792487473,19454.631015331328,15506.250665544558,3272.4794897252727
76,26876299,2,56.37,18.0,252.16666666666666,348.0,27707534,1,POINT (153340.005678987 7535607.073810272),POINT (151650.7712599388 7531499.6391658),4441.230942104303,17890.49133641715,13099.1730290688,3914.468629486914
77,26876300,1,50.61,16.0,20.916666666666668,86.0,27707534,1,POINT (152060.4281457516 7535552.260617558),POINT (151650.7712599388 7531499.6391658),4073.273793319293,16642.101872104027,11933.01022109134,3932.206986295283
78,26876301,1,162.8,39.0,104.66666666666666,335.0,27707534,1,POINT (151740.9434111473 7535856.012426543),POINT (151650.7712599388 7531499.6391658),4357.306393148183,16422.067940877878,11520.69247611187,4305.456762679029
79,26876302,1,32.36,11.0,37.083333333333336,44.0,27707534,1,POINT (152238.8526037046 7536622.056528975),POINT (151650.7712599388 7531499.6391658),5156.064323633285,17133.8944249412,11722.820577026256,4953.941059372225
80,26876303,1,356.02,73.0,39.77777777777778,196.0,27707534,1,POINT (155138.3332232861 7533043.177333859),POINT (151650.7712599388 7531499.6391658),3813.8692327399804,19195.879904138557,15788.524812112912,2585.3253291032347
81,26876304,1,299.97,69.0,86.55555555555556,301.0,27707534,1,POINT (155097.0130946919 7533348.664774708),POINT (151650.7712599388 7531499.6391658),3910.943426591757,19189.644023792083,15614.273921982829,2721.579381495083
82,26876305,1,389.95,86.0,85.58333333333333,542.0,27707534,1,POINT (154863.1607548715 7533525.550127329),POINT (151650.7712599388 7531499.6391658),3797.86275307548,18980.20329660844,15326.401523360253,2655.695013284878
83,26876306,1,130.93,32.0,160.875,435.0,27707534,1,POINT (151952.8678723368 7535434.032406351),POINT (151650.7712599388 7531499.6391658),3945.974218683146,16506.56525005757,11881.709489202283,3842.5826540207254
84,26876307,3,332.72,79.0,91.45833333333333,480.0,27707534,1,POINT (151581.0583598788 7535998.871264976),POINT (151650.7712599388 7531499.6391658),4499.772146529814,16312.508720639067,11318.59536757858,4485.455790388777
85,26876308,1,554.7099999999999,137.0,89.64285714285712,857.0,27707534,1,POINT (151932.5969208475 7535215.727315849),POINT (151650.7712599388 7531499.6391658),3726.759563223584,16429.787151123048,11953.566126273712,3637.174593399555
86,26876309,1,70.02,15.0,12.416666666666666,30.0,27707534,0,POINT (155107.4176545799 7536645.650111861),POINT (151650.7712599388 7531499.6391658),6199.180022757815,19873.065120714786,14254.120628815352,5393.850081261617
87,26876310,2,146.37,37.0,99.375,291.0,27707534,1,POINT (152168.1472613275 7534932.678798752),POINT (151650.7712599388 7531499.6391658),3471.806309146735,16588.367872539613,12287.496194206791,3304.203114001045
88,26876311,1,723.7900000000001,174.0,66.37962962962963,911.0,27707534,1,POINT (151666.4362847002 7534882.711066048),POINT (151650.7712599388 7531499.6391658),3383.108167831123,16089.228814617081,11859.840992389354,3374.6223931071954
