,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,TIEMPO_MIN,DISTANCIA_KM
51,26876267,1,43.25333333333333,13.666666666666666,115.02777777777779,524.0,27707534,1,POINT (-42.3573026234173 -22.26967548683422),POINT (-42.38023628887362 -22.28705286010137),12.4,4.137
52,26876268,1,6.54,2.0,105.83333333333333,126.0,27707534,1,POINT (-42.36039700351887 -22.29131996514423),POINT (-42.38023628887362 -22.28705286010137),8.5,2.838
53,26876269,1,6.54,2.0,90.04166666666666,722.0,27707534,1,POINT (-42.36129151599062 -22.29585723462361),POINT (-42.38023628887362 -22.28705286010137),8.766666666666667,2.927
54,26876270,2,28.349999999999998,9.333333333333334,136.4722222222222,1070.0,27707534,1,POINT (-42.35761017087265 -22.26672854068954),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
55,26876271,1,47.10666666666666,14.5,117.8888888888889,1151.0,27707534,1,POINT (-42.35864460526426 -22.26484059661618),POINT (-42.38023628887362 -22.28705286010137),12.4,4.137
56,26876273,1,50.70499999999999,15.666666666666666,104.5625,1624.0,27707534,1,POINT (-42.36183769225568 -22.26627370856477),POINT (-42.38023628887362 -22.28705286010137),12.4,4.137
57,26876274,1,12.79,3.0,113.22222222222223,922.0,27707534,1,POINT (-42.35657289462335 -22.29042653815418),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
58,26876275,1,40.34666666666667,12.333333333333334,101.97222222222223,427.0,27707534,1,POINT (-42.36044445534731 -22.26299217145151),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
59,26876276,2,32.36,11.0,229.33333333333334,262.0,27707534,1,POINT (-42.36244016518145 -22.26899478817887),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
60,26876277,2,107.54,24.0,225.75,535.0,27707534,1,POINT (-42.35875131432164 -22.26068133917244),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
61,26876278,1,26.5375,9.0,76.97916666666667,513.0,27707534,1,POINT (-42.36127241259175 -22.26021616214609),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
62,26876279,2,32.36,11.0,156.16666666666666,170.0,27707534,1,POINT (-42.36802616197775 -22.26977497163756),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
63,26876281,1,18.92,7.0,28.166666666666668,77.0,27707534,1,POINT (-42.37089531406747 -22.27329369414861),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
64,26876283,1,101.48,22.5,90.70833333333333,662.0,27707534,1,POINT (-42.35141680524134 -22.25978551369047),POINT (-42.38023628887362 -22.28705286010137),14.35,4.789
65,26876284,2,32.36,11.0,21.375,329.0,27707534,1,POINT (-42.37284997434682 -22.27330151375384),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
66,26876286,1,6.54,2.0,87.0,99.0,27707534,1,POINT (-42.34678492258604 -22.29279680842592),POINT (-42.38023628887362 -22.28705286010137),15.2,5.0680000000000005
67,26876287,1,109.2,23.5,203.66666666666669,701.0,27707534,1,POINT (-42.35172151533561 -22.25596288417972),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
68,26876288,1,91.71,21.0,73.0,103.0,27707534,1,POINT (-42.35344259200195 -22.26228554174429),POINT (-42.38023628887362 -22.28705286010137),14.233333333333333,4.749
69,26876290,1,6.71,3.0,67.33333333333333,95.0,27707534,1,POINT (-42.34754595678044 -22.29747456639808),POINT (-42.38023628887362 -22.28705286010137),17.133333333333333,5.7139999999999995
70,26876292,1,107.905,24.0,129.875,495.0,27707534,1,POINT (-42.34529885675681 -22.2617528634039),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
71,26876293,1,69.7,15.0,151.75,168.0,27707534,1,POINT (-42.34902358696894 -22.26094195011086),POINT (-42.38023628887362 -22.28705286010137),14.483333333333333,4.831
72,26876294,1,99.555,22.0,95.04166666666667,358.0,27707534,1,POINT (-42.34948376736196 -22.25119604745959),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
73,26876295,2,56.23,17.333333333333332,159.47222222222226,558.0,27707534,1,POINT (-42.3658056917792 -22.24756108757407),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
74,26876296,1,69.7,15.0,56.25,135.0,27707534,1,POINT (-42.34609637824519 -22.25234741889824),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
75,26876297,1,92.79,21.0,48.333333333333336,128.0,27707534,1,POINT (-42.34457142303268 -22.26535189357497),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
76,26876299,2,56.37,18.0,252.16666666666666,348.0,27707534,1,POINT (-42.36297995536063 -22.25034985286339),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
77,26876300,1,50.61,16.0,20.916666666666668,86.0,27707534,1,POINT (-42.37538865166488 -22.25058693753709),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
78,26876301,1,81.4,19.5,104.66666666666666,335.0,27707534,1,POINT (-42.37841809621813 -22.24778316885812),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
79,26876302,1,32.36,11.0,37.083333333333336,44.0,27707534,1,POINT (-42.37342874743871 -22.24097484411374),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
80,26876303,1,118.67333333333333,24.333333333333332,39.77777777777778,196.0,27707534,1,POINT (-42.3461072690352 -22.2738330760356),POINT (-42.38023628887362 -22.28705286010137),14.766666666666667,4.928999999999999
81,26876304,1,99.99000000000001,23.0,86.55555555555556,301.0,27707534,1,POINT (-42.34644205965327 -22.27106969141306),POINT (-42.38023628887362 -22.28705286010137),14.766666666666667,4.928999999999999
82,26876305,1,97.4875,21.5,85.58333333333333,542.0,27707534,1,POINT (-42.34867005178143 -22.26942764896677),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
83,26876306,1,65.465,16.0,160.875,435.0,27707534,1,POINT (-42.37645630521428 -22.25163151448277),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
84,26876307,3,83.18,19.75,91.45833333333333,480.0,27707534,1,POINT (-42.37993610866442 -22.24646256029888),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
85,26876308,1,79.24428571428571,19.571428571428573,89.64285714285712,857.0,27707534,1,POINT (-42.3766999531403 -22.25359622018937),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
86,26876309,1,70.02,15.0,12.416666666666666,30.0,27707534,0,POINT (-42.34563387400402 -22.24133689498166),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
87,26876310,2,73.185,18.5,99.375,291.0,27707534,1,POINT (-42.37447908813937 -22.25619635807544),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
88,26876311,1,80.42111111111112,19.333333333333332,66.37962962962963,911.0,27707534,1,POINT (-42.37935077052163 -22.25654586969608),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
89,26876312,2,53.29,14.0,15.5,36.0,27707534,1,POINT (-42.38019988341784 -22.25727337536591),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
90,26876313,1,4.26,2.0,135.41666666666669,324.0,27707534,0,POINT (-42.34830521031716 -22.30750728623224),POINT (-42.38023628887362 -22.28705286010137),21.166666666666668,7.053
91,26876314,1,4.26,2.0,167.58333333333334,181.0,27707534,0,POINT (-42.34579247754078 -22.30956049242275),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
92,26876315,1,4.26,2.0,71.08333333333333,168.0,27707534,0,POINT (-42.34134640381342 -22.3092161788835),POINT (-42.38023628887362 -22.28705286010137),64.3,30.023000000000003
93,26876316,1,32.73,9.0,63.833333333333336,92.0,27707534,0,POINT (-42.33939110591479 -22.31000557499726),POINT (-42.38023628887362 -22.28705286010137),24.55,8.113
94,26876317,1,74.3,18.285714285714285,62.547619047619044,845.0,27707534,0,POINT (-42.33716546281579 -22.31107793290022),POINT (-42.38023628887362 -22.28705286010137),25.516666666666666,8.406
95,26876318,1,1.0399999999999994,2.0,115.54504504504506,6241.0,27707534,1,POINT (-42.33760126438682 -22.31434536774447),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
96,26876319,1,33.43613636363637,9.420454545454545,99.46780303030305,12408.0,27707534,1,POINT (-42.3394690060897 -22.31510724730157),POINT (-42.38023628887362 -22.28705286010137),63.16666666666666,29.476
97,26876320,1,1.0702816901408456,2.0140845070422535,90.09859154929576,8906.0,27707534,1,POINT (-42.3374304777343 -22.31669866960789),POINT (-42.38023628887362 -22.28705286010137),62.66666666666666,29.496
98,26876321,1,18.66,6.0,135.15,836.0,27707534,1,POINT (-42.34072751915966 -22.31320509933585),POINT (-42.38023628887362 -22.28705286010137),63.66666666666666,29.671999999999997
99,26876322,1,1.0495833333333329,1.9583333333333333,128.80208333333334,4188.0,27707534,1,POINT (-42.33454523407522 -22.31434027038711),POINT (-42.38023628887362 -22.28705286010137),60.43333333333333,28.941
100,26876323,1,5.492988505747117,3.0114942528735633,103.8860153256705,13446.0,27707534,1,POINT (-42.33328437107684 -22.31431952752411),POINT (-42.38023628887362 -22.28705286010137),59.78333333333333,28.750999999999998
101,26876324,1,1.0399999999999996,2.0,114.1153846153846,2336.0,27707534,1,POINT (-42.33524479780914 -22.31275395623004),POINT (-42.38023628887362 -22.28705286010137),60.86666666666667,29.066
102,26876325,1,25.37254901960784,7.549019607843137,100.2663398692811,7292.0,27707534,1,POINT (-42.33999145733986 -22.31774275102708),POINT (-42.38023628887362 -22.28705286010137),63.35,29.201999999999998
103,26876326,1,45.36,10.25,120.45833333333333,859.0,27707534,1,POINT (-42.33401551990028 -22.31209280793666),POINT (-42.38023628887362 -22.28705286010137),60.8,29.088
104,26876327,1,2.192834645669291,2.732283464566929,86.59383202099735,16446.0,27707534,1,POINT (-42.33113575670978 -22.31557504765027),POINT (-42.38023628887362 -22.28705286010137),58.31666666666667,28.471999999999998
105,26876328,1,23.63,5.0,38.5,66.0,27707534,0,POINT (-42.33140121859134 -22.31028947927598),POINT (-42.38023628887362 -22.28705286010137),61.85,29.436
106,26876329,1,25.905,4.5,71.45833333333334,231.0,27707534,0,POINT (-42.3300111517932 -22.31059084389227),POINT (-42.38023628887362 -22.28705286010137),62.06666666666667,29.511
107,26876330,1,1.0099999999999993,1.96,90.63,3530.0,27707534,1,POINT (-42.33136406939622 -22.3158135154813),POINT (-42.38023628887362 -22.28705286010137),58.56666666666667,28.614
108,26876331,1,3.0868750000000023,3.0416666666666665,117.83680555555554,8048.0,27707534,1,POINT (-42.33074023127659 -22.31800587646995),POINT (-42.38023628887362 -22.28705286010137),56.75,28.186999999999998
109,26876333,1,1.1091250000000015,1.9625,96.1458333333333,12602.0,27707534,1,POINT (-42.33067320210654 -22.31693956291048),POINT (-42.38023628887362 -22.28705286010137),57.35,28.305
110,26876334,1,35.9,6.0,140.66666666666669,339.0,27707534,0,POINT (-42.32706261474783 -22.30529817537047),POINT (-42.38023628887362 -22.28705286010137),64.43333333333334,30.296
111,26876336,1,39.265,7.833333333333333,101.34722222222223,1077.0,27707534,0,POINT (-42.32341405531434 -22.30432623306916),POINT (-42.38023628887362 -22.28705286010137),66.0,30.816999999999997
112,26876337,1,11.004107142857146,5.75,80.77678571428575,7724.0,27707534,1,POINT (-42.32862155803844 -22.31615649892325),POINT (-42.38023628887362 -22.28705286010137),58.05,28.476999999999997
113,26876338,1,18.859245283018854,7.7924528301886795,106.42610062893083,8544.0,27707534,1,POINT (-42.32865756419517 -22.31834167073146),POINT (-42.38023628887362 -22.28705286010137),57.63333333333333,28.365
114,26876339,1,20.175999999999977,5.0125,112.48854166666669,13362.0,27707534,1,POINT (-42.32783033720028 -22.31694687260006),POINT (-42.38023628887362 -22.28705286010137),58.93333333333333,28.604
115,26876340,1,7.645238095238096,3.857142857142857,89.92857142857143,2743.0,27707534,1,POINT (-42.33241803436476 -22.32110275398884),POINT (-42.38023628887362 -22.28705286010137),55.45,27.774
116,26876341,1,35.9,6.0,30.583333333333332,100.0,27707534,0,POINT (-42.31995560356819 -22.30407050005351),POINT (-42.38023628887362 -22.28705286010137),66.3,30.918000000000003
117,26876342,1,25.289999999999992,9.0,116.28186274509805,6093.0,27707534,1,POINT (-42.3275637322804 -22.32024642223456),POINT (-42.38023628887362 -22.28705286010137),58.6,28.636
118,26876344,1,21.40267857142854,8.821428571428571,89.85267857142858,8375.0,27707534,1,POINT (-42.32675631824947 -22.31933941368294),POINT (-42.38023628887362 -22.28705286010137),59.48333333333333,28.772
119,26876345,1,1.0283999999999993,1.96,112.995,8593.0,27707534,1,POINT (-42.33346336044571 -22.32327746308442),POINT (-42.38023628887362 -22.28705286010137),54.95,27.5
120,26876346,1,1.54,3.0,58.916666666666664,81.0,27707534,0,POINT (-42.32425725606748 -22.31615770581345),POINT (-42.38023628887362 -22.28705286010137),60.16666666666666,28.99
121,26876347,1,11.165322580645165,3.7903225806451615,97.41801075268816,9255.0,27707534,1,POINT (-42.33402672725163 -22.32477622284438),POINT (-42.38023628887362 -22.28705286010137),54.61666666666667,27.313000000000002
122,26876348,1,36.318571428571424,9.380952380952381,111.33730158730157,3418.0,27707534,1,POINT (-42.33569002607379 -22.32557992717187),POINT (-42.38023628887362 -22.28705286010137),55.58333333333334,27.416
